trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Ubiquitin-conjugating enzyme E2 G1	17158-17	ENSG00000132388	P62253	combined	seq.17158.17	Somalogic	proteomics	SomaScan	7k
Plasma	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	17161-1	ENSG00000244038	P39656	combined	seq.17161.1	Somalogic	proteomics	SomaScan	7k
Plasma	Annexin A3	17163-117	ENSG00000138772	P12429	combined	seq.17163.117	Somalogic	proteomics	SomaScan	7k
Plasma	Annexin A4	17164-15	ENSG00000196975	P09525	combined	seq.17164.15	Somalogic	proteomics	SomaScan	7k
Plasma	Beta-thromboglobulin	17165-1	ENSG00000163736	P02775	combined	seq.17165.1	Somalogic	proteomics	SomaScan	7k
Plasma	Fibroblast growth factor 8 isoform F	17166-4	ENSG00000107831	P55075	combined	seq.17166.4	Somalogic	proteomics	SomaScan	7k
Plasma	Calcitonin gene-related peptide 2	17170-15	ENSG00000175868	P10092	combined	seq.17170.15	Somalogic	proteomics	SomaScan	7k
Plasma	Statherin	17172-19	ENSG00000126549|ENSG00000282891	P02808	combined	seq.17172.19	Somalogic	proteomics	SomaScan	7k
Plasma	Dual specificity mitogen-activated protein kinase kinase 6	17175-5	ENSG00000108984	P52564	combined	seq.17175.5	Somalogic	proteomics	SomaScan	7k
Plasma	PC4 and SFRS1-interacting protein	17176-13	ENSG00000164985	O75475	combined	seq.17176.13	Somalogic	proteomics	SomaScan	7k
Plasma	BAG family molecular chaperone regulator 1	17195-43	ENSG00000107262	Q99933	combined	seq.17195.43	Somalogic	proteomics	SomaScan	7k
Plasma	ATP-dependent Clp protease proteolytic subunit, mitochondrial	17196-5	ENSG00000125656	Q16740	combined	seq.17196.5	Somalogic	proteomics	SomaScan	7k
Plasma	Hypoxia-inducible factor 1-alpha inhibitor	17199-43	ENSG00000166135	Q9NWT6	combined	seq.17199.43	Somalogic	proteomics	SomaScan	7k
Plasma	Killer cell immunoglobulin-like receptor 2DL1	17200-50	ENSG00000276625|ENSG00000273794|ENSG00000278821|ENSG00000125498|ENSG00000277833|ENSG00000278495|ENSG00000278738	P43626	combined	seq.17200.50	Somalogic	proteomics	SomaScan	7k
